wavelength,PC,PH,PI,PK,PE,PN
668.0711,15.76,33.9,161.8,1035.68,139.24,127.22
668.4154,16.28,33.14,163.9,1037,140.8,128.28
668.7597,16.9,32.26,162.78,1042.18,139.78,129.3
669.104,16.06,34.24,163.18,1049.16,143.2,128.62
669.4483,17.44,34.24,165.1,1052.04,143.96,130.88
669.7926,15.62,34.36,165.84,1055.86,143.48,130.96
670.1369,15.92,33.34,166.78,1059.42,144.46,131.04
670.4812,16.42,33.28,166.46,1061.08,145.86,131.24
670.8255,17.46,35.92,168.74,1069.5,146.54,133.6
671.1698,16.68,33.9,168.94,1066.32,147.6,132.98
671.5141,16.64,35.08,169.38,1074.84,146.64,131.98
671.8584,15.82,34.1,171.02,1075.74,146.68,132.9
672.2027,17.4,35.9,170.16,1085.66,148.84,135.1
672.547,16.64,34.22,171.64,1087.64,148.4,135.26
672.8913,16.6,35.08,173.46,1088.22,150.98,134.62
673.2356,15.46,33.98,174.18,1099.92,149.82,137.08
673.5799,16.8,35.22,177,1105.86,152.06,138.22
673.9242,16.74,35.32,177.54,1107.58,151.82,139.82
674.2685,17.32,35.22,177.2,1116.42,154.24,139.34
674.6128,16.82,35.06,180.22,1124.54,153.82,138.04
674.9571,14.88,35.56,179.46,1134.4,156.18,137.86
675.3014,17.1,37.18,182.62,1134.86,156.3,141.56
675.6457,17.02,38,183.66,1148.46,158.86,143.24
675.99,17.16,36.8,185.82,1157.88,160.96,144.36
676.3343,17.56,36.52,186.02,1164.04,160.66,144.86
676.6786,17.72,37.3,188.48,1172.56,164.84,145.44
677.0229,17.1,38.1,190.68,1183.36,166.88,147.26
677.3672,17.22,38.22,190.66,1189.8,166.36,149.66
677.7115,17.72,39.06,194.24,1202.6,167.42,149.9
678.0558,16.16,38.96,196.62,1213.66,166.82,150.26
678.4001,17.8,38.7,196.08,1224.06,170.24,152.76
678.7444,19.64,40.12,199.38,1230.92,172.2,154.9
679.0887,16.78,39.92,200.42,1243.9,173.66,153.24
679.433,18.08,39.92,202.18,1247.52,172.8,154.4
679.7773,17.76,40.18,203.24,1258.28,174.74,156.5
680.1216,17.04,39.4,204.32,1268.08,176.28,157.1
680.4659,19.28,41.94,206.04,1273.22,179.64,159.74
680.8102,19.94,41.9,210.06,1282.44,179.04,159.82
681.1545,18.2,41.34,209.56,1291.08,179.68,163.36
681.4988,19.14,41.08,211.7,1302.34,179.94,163
681.8431,17.4,41.14,212.54,1306.36,181.5,162.3
682.1874,17.62,42.4,214.14,1308.92,183.44,165.7
682.5317,17.58,41.48,215.46,1315.84,183.92,164.54
682.876,18.94,42.74,215.48,1321.54,185.8,166.52
683.2203,19.6,43.28,217.66,1327.34,187.06,167.84
683.5646,18.32,43.22,218.92,1329.26,186.52,168.3
683.9089,19.04,42.82,218.74,1334.06,187.78,168.46
684.2532,19.48,42.82,220.06,1335.24,187.52,169.98
684.5975,18.32,42.68,219.84,1340.24,187.3,168.8
684.9418,18.32,42.74,220.44,1341.88,189.24,168.88
685.2861,18.94,43,221.38,1345.24,190.36,169.34
685.6304,18.4,41.94,221.18,1348.36,190.02,171.06
685.9747,19.66,44.1,222.68,1350.14,190.54,170.18
686.319,20.78,43.3,225.02,1347.76,190.12,171.18
686.6633,18.94,44.7,223.48,1356.68,191.76,171.2
687.0076,18.62,43.38,225.42,1356.52,191.98,171.96
687.3519,19.96,44.64,224.76,1360.7,194.74,174.04
687.6962,20.16,44.26,225.36,1364.34,192.8,172.94
688.0405,19.2,44.86,226.98,1372.74,194.42,176.24
688.3848,18.54,43.92,230.26,1375.5,194.32,174.44
688.7291,19.38,45.6,231.96,1383.58,196.82,177.54
689.0734,20.16,46.6,232.54,1391.08,200.18,176.5
689.4177,20.66,46.08,232.82,1395.18,202.98,179.66
689.762,19.42,45.36,232.8,1403.06,200.48,181.12
690.1063,20.54,46.12,236.62,1410.66,202.32,179.2
690.4506,20.78,47,238.04,1418.46,203.82,181.8
690.7949,20.56,47.34,239.84,1427.06,205.38,182.42
691.1392,20.94,48.56,242.58,1435.12,206.4,186.64
691.4835,21.04,46.76,242.48,1443.72,206.84,184.02
691.8278,19.92,47.7,244.7,1456.72,211.02,186.76
692.1721,20.82,49.32,246.64,1463.8,210.74,187.28
692.5164,21.16,48.6,249.16,1470.52,213.22,189.98
692.8607,20.1,48.6,251.34,1487.08,213.3,190.22
693.205,20.14,49.3,252.92,1500.22,215.58,191.04
693.5493,21.5,48.76,258.12,1509.92,216,194.24
693.8936,21.1,50.08,258,1523.42,219.48,194.72
694.2379,21.94,51.22,261.68,1539.78,222.2,199.12
694.5822,22.54,51.26,263.04,1549,224.04,200.18
694.9265,22.98,52.44,265.2,1561.16,227,201.74
695.2708,21.98,52.36,266.94,1567.76,226.36,200.96
695.6151,21.7,52.46,271.4,1585.5,228.34,204.76
695.9594,22.08,52.3,273.02,1598.36,230.94,206.58
696.3037,22.16,54.24,275.2,1611.34,232.86,208.18
696.648,21.5,54.66,277.94,1622.52,237.46,209.04
696.9923,21.28,53.98,278.1,1627.46,236.44,208.6
697.3366,21.86,52.56,280.68,1642.22,237.82,211.78
697.6809,23.16,54.76,281,1649.72,240.98,212.48
698.0252,21.64,53.82,282.82,1653.78,240.4,215.68
698.3695,22.2,55.32,287.06,1660.3,243.16,216.04
698.7138,23.2,56.74,288.12,1670.44,244.64,216.08
699.0581,24,56.54,290.08,1674.1,242.96,219.6
699.4024,23.3,55.94,292.24,1682.8,247.72,218.36
699.7467,23.14,55.48,292.84,1687.86,247.12,218.46
700.091,23.9,56.42,294.08,1696.4,245.8,221.58
700.4353,23.18,56.76,295.56,1695.7,247.48,221.56
700.7796,23.16,57.02,296.98,1705.82,250.22,221.76
701.1239,23.92,58,296.88,1713.6,252.14,223.56
701.4682,23.5,56.76,298.08,1713.26,252.96,224.04
701.8125,24,58.18,299.2,1718.64,255.02,225.12
702.1568,24.86,58.26,298.96,1720.6,254.86,228.24
702.5011,23.34,58.68,302.26,1719.32,254.48,226.82
702.8454,24.68,58.78,301.98,1723.54,256.48,229
703.1897,25.34,58.24,303.02,1723.62,255.86,226.44
703.534,25.36,58.42,304.8,1724.72,255.1,228.54
703.8783,24.16,58.12,305.4,1726.62,256.12,226.84
