wavelength,oxy,deoxy,water,fat,collagen,mel,musp
922,6.5629,4.1609,0.12315999999999999,0.090441,0.054195999999999994,88.509,11.323
923,6.5672,4.1599,0.13011,0.092695,0.053574,88.19,11.302999999999999
924,6.5715,4.1588,0.13705,0.09287000000000001,0.05295199999999999,87.87299999999999,11.283
925,6.5704,4.1473,0.14400000000000002,0.094065,0.052329999999999995,87.557,11.263
926,6.5693,4.1359,0.14979,0.095096,0.052717999999999994,87.242,11.244000000000002
927,6.5629,4.1244,0.15558,0.094361,0.053106,86.929,11.224
928,6.5565,4.113,0.16138,0.095231,0.053494,86.618,11.205
929,6.5501,4.1016,0.16717,0.095627,0.053882000000000006,86.30799999999999,11.185
930,6.5436,4.0902,0.17296,0.094963,0.054270000000000006,85.999,11.165999999999999
931,6.5372,4.0593,0.1824,0.09274500000000001,0.053476,85.69200000000001,11.147
932,6.5308,4.0283,0.19184,0.090612,0.052682,85.38600000000001,11.128
933,6.5243,3.9889,0.20128,0.08984299999999999,0.051888000000000004,85.08200000000001,11.109000000000002
934,6.5179,3.9495,0.21072,0.087783,0.051094,84.779,11.089
935,6.5136,3.9102,0.22016,0.080832,0.0503,84.477,11.071
936,6.5094,3.8709,0.22960999999999998,0.084427,0.050128,84.177,11.052
937,6.5072,3.8315,0.23905,0.080697,0.049956,83.87799999999999,11.033
938,6.5051,3.7921,0.24849000000000002,0.07511,0.049783999999999995,83.581,11.014000000000001
939,6.5029,3.7527,0.25793,0.070823,0.049611999999999996,83.285,10.995
940,6.5008,3.7133,0.26737,0.06657300000000001,0.04944,82.99,10.977
941,6.4986,3.6739,0.27963000000000005,0.060259,0.049375999999999996,82.697,10.958
942,6.4965,3.6344,0.2919,0.053991,0.049311999999999995,82.405,10.94
943,6.4944,3.5857,0.30416,0.049362,0.049248,82.11399999999999,10.921
944,6.4922,3.537,0.31642,0.040962,0.049184,81.825,10.902999999999999
945,6.4869,3.4849,0.32869,0.031379000000000004,0.04912,81.53699999999999,10.885
946,6.4815,3.4329,0.34095,0.030139,0.049218,81.25,10.866
947,6.4729,3.3808,0.35320999999999997,0.024880000000000003,0.049316,80.965,10.847999999999999
948,6.4644,3.3288,0.36546999999999996,0.020511,0.049414,80.681,10.83
949,6.4558,3.2768,0.37774,0.017796,0.049512,80.398,10.812000000000001
950,6.4472,3.2249,0.39,0.012667,0.04961,80.117,10.794
951,6.4387,3.1745,0.39299999999999996,0.007326000000000001,0.050074,79.836,10.776
952,6.4301,3.1239999999999997,0.396,0.0050152999999999994,0.050538,79.558,10.759
953,6.4215,3.0852,0.39899999999999997,0.005033600000000001,0.051002,79.28,10.741
954,6.412999999999999,3.0465,0.402,0.0020978000000000004,0.051466,79.003,10.722999999999999
955,6.4033,3.0078,0.405,0.0001,0.05193,78.72800000000001,10.706
956,6.3937,2.9692,0.408,0.0001,0.052862,78.454,10.687999999999999
957,6.382999999999999,2.9305,0.41100000000000003,0.0001,0.053793999999999995,78.182,10.67
958,6.3723,2.8918,0.414,0.0001,0.054726,77.91,10.652999999999999
959,6.3616,2.8531,0.41700000000000004,0.0001,0.05565799999999999,77.64,10.636
960,6.3509,2.8143,0.42,0.0001,0.056589999999999994,77.37100000000001,10.618
961,6.3401,2.7756,0.423,0.0001,0.05753199999999999,77.10300000000001,10.600999999999999
962,6.3294,2.737,0.426,0.0001,0.058474,76.837,10.584000000000001
963,6.3187,2.6948,0.429,0.0001,0.059416,76.571,10.567
964,6.308,2.6526,0.43200000000000005,0.0001,0.060358,76.307,10.55
965,6.2952,2.5936,0.435,0.0001,0.0613,76.044,10.533
966,6.2823,2.5346,0.43799999999999994,0.0001,0.062214,75.782,10.515999999999998
967,6.2673,2.4757,0.441,0.0001,0.063128,75.52199999999999,10.499
968,6.2523,2.4168,0.444,0.0001,0.064042,75.262,10.482000000000001
969,6.2373,2.3578,0.447,0.0001,0.064956,75.00399999999999,10.465
970,6.2223,2.2989,0.45,0.0001,0.06587,74.747,10.449000000000002
971,6.2073,2.2614,0.45,0.0001,0.06614,74.491,10.432
972,6.1923,2.2238,0.45,0.0001,0.06641,74.236,10.415
973,6.1774,2.189,0.45,0.0001,0.06668,73.982,10.399000000000001
974,6.1624,2.1541,0.45,0.0001,0.06695,73.729,10.382
975,6.1442,2.1194,0.45,0.0001,0.06722,73.47800000000001,10.366
976,6.1259,2.0846,0.446,0.0001,0.067264,73.22800000000001,10.35
977,6.1045,2.0462,0.442,0.0001,0.067308,72.97800000000001,10.333
978,6.0831,2.0078,0.43799999999999994,0.0001,0.067352,72.73,10.317
979,6.0617,1.9668,0.434,0.0001,0.067396,72.483,10.300999999999998
980,6.0403,1.9259,0.43,0.0001,0.06744,72.237,10.285
981,6.0189,1.885,0.428,0.0001,0.068738,71.992,10.269
982,5.9974,1.8441,0.426,0.0001,0.070036,71.748,10.253
983,5.976,1.8031,0.424,0.0001,0.071334,71.505,10.237
984,5.9546,1.7622,0.42200000000000004,0.0001,0.072632,71.264,10.221
985,5.9289,1.7213,0.42,0.0001,0.07393,71.023,10.205
986,5.9032,1.6803,0.418,0.0001,0.073984,70.78399999999999,10.189
987,5.8732,1.6394,0.41600000000000004,0.0001,0.07403799999999999,70.545,10.173
988,5.8432,1.5985,0.414,0.0001,0.074092,70.307,10.158
989,5.8132,1.5575,0.41200000000000003,0.0001,0.074146,70.071,10.142000000000001
990,5.7832,1.5166,0.41,0.0001,0.0742,69.836,10.126
991,5.7532,1.4757,0.405,0.0001,0.07413600000000001,69.601,10.111
992,5.7233,1.4347,0.4,0.0001,0.074072,69.368,10.095
993,5.6933,1.3938,0.395,0.0001,0.074008,69.13600000000001,10.08
994,5.6633,1.3529,0.39,0.0001,0.073944,68.904,10.065
995,5.6333,1.3119999999999998,0.385,0.0001,0.07388,68.67399999999999,10.049
996,5.6033,1.271,0.38,0.0001,0.074062,68.445,10.033999999999999
997,5.5733,1.2301,0.375,0.0001,0.074244,68.21600000000001,10.019
998,5.5433,1.1892,0.37,0.0001,0.07442599999999999,67.98899999999999,10.004
999,5.5134,1.1482,0.365,0.0001,0.074608,67.762,9.9886
1000,5.4834,1.1073,0.36,0.0001,0.07479,67.53699999999999,9.9735
