wl,EN,EO,NN,NO
862.0258179,0.01605552,0.034330293,0.018873858,0.037127551
862.9730225,0.016251983,0.03463332,0.019086756,0.03744689
864.0549927,0.016174842,0.034521752,0.019004305,0.037330052
865.0013428,0.016265014,0.034749328,0.019115668,0.037578659
865.9472656,0.016140939,0.034459411,0.018966017,0.037263358
867.027771,0.016140695,0.034452997,0.018964821,0.037255999
867.9728394,0.016110345,0.034372855,0.018926793,0.037168236
869.0523682,0.01624308,0.034555726,0.019067259,0.037358781
869.996521,0.015947372,0.033975821,0.018727722,0.036735375
870.9402466,0.01635274,0.034526974,0.019155574,0.037308843
872.0183105,0.016480816,0.03480055,0.019306088,0.03760469
872.9611816,0.016582603,0.034958351,0.019416514,0.037771066
874.038269,0.016407585,0.03447251,0.019193561,0.037237648
874.9802246,0.016714925,0.03490875,0.01952078,0.037693618
876.0562744,0.016935032,0.035163151,0.019746175,0.037953267
876.9973755,0.016972062,0.035129664,0.019772331,0.037908987
877.9380493,0.017190093,0.035321383,0.019986304,0.038096679
879.0126343,0.017208772,0.035394942,0.020013446,0.038178637
879.9523926,0.017065737,0.035111495,0.019848757,0.037873698
881.0259399,0.017050378,0.035171954,0.019845091,0.037945763
881.9648438,0.017005617,0.035121438,0.019799442,0.037894366
883.0373535,0.016954102,0.034932707,0.019726766,0.037684632
883.9754028,0.016877913,0.034866048,0.019652046,0.037619432
885.046875,0.016980271,0.034950482,0.01975164,0.037701122
885.9840088,0.017014308,0.034952118,0.01978068,0.037697798
887.0544434,0.017216849,0.03513794,0.019980642,0.037881061
887.9906616,0.017287903,0.035154154,0.020043239,0.037888881
889.0601196,0.017583531,0.03544974,0.020338861,0.038184461
889.9954224,0.01784695,0.035822439,0.020619133,0.038573886
891.0638428,0.017950868,0.035782541,0.020700872,0.038511975
891.998291,0.018511636,0.036420874,0.021273602,0.039162181
893.0656738,0.018785233,0.036752716,0.021556181,0.039502938
893.9991455,0.019119364,0.036976206,0.021873249,0.039709492
895.0655518,0.01939123,0.037223255,0.022141287,0.039952743
895.9981079,0.019690547,0.037418426,0.022424544,0.040131973
897.0634155,0.020073331,0.037800311,0.022807189,0.04051372
897.9951172,0.020688138,0.038549425,0.023442708,0.041283392
899.0594482,0.02126071,0.039062444,0.024006096,0.041787296
899.9902344,0.021772896,0.039555896,0.024515393,0.04227788
901.0534668,0.022671468,0.040505931,0.025421901,0.043235793
901.9833374,0.023452764,0.04113037,0.026179008,0.043836222
903.0455322,0.024824395,0.042604841,0.027566498,0.045326434
903.9744873,0.025829248,0.043603077,0.028570331,0.046323657
905.0356445,0.026997729,0.044724083,0.02973149,0.047437396
905.9636841,0.02812959,0.045792216,0.030853523,0.048495774
907.0238037,0.029693766,0.047567883,0.032450315,0.050303814
907.9509277,0.030537329,0.048365539,0.033286799,0.051094443
909.0100098,0.030168432,0.047938351,0.032908912,0.050658333
909.9362183,0.028172446,0.045833757,0.030896176,0.048537115
910.9942017,0.025499327,0.0430527,0.028206411,0.045739536
912.0516357,0.023349687,0.04103155,0.026076587,0.043738053
