Wavelength (nm),PC,PH,PI,PK,WH_lie0_1,WH_lie0_2,,,,,,,
571.2327,315.333333333333,322,320.333333333333,337.333333333333,319,323,,,,,,,
571.5766,318.333333333333,320.666666666667,322.666666666667,337,324,320,,,,,,,
571.9205,316.666666666667,317.333333333333,324.333333333333,336.333333333333,321,322,,,,,,,
572.2644,319,322.333333333333,319.333333333333,333.666666666667,323,319,,,,,,,
572.6083,320.666666666667,322,323.666666666667,332.666666666667,320,320,,,,,,,
572.9522,322.333333333333,322,324.666666666667,333.666666666667,324,319,,,,,,,
573.2961,320.333333333333,319.333333333333,323.333333333333,338.666666666667,325,323,,,,,,,
573.64,318.666666666667,316.666666666667,321.333333333333,332.333333333333,326,325,,,,,,,
573.9839,319.666666666667,320.333333333333,319,339.333333333333,322,318,,,,,,,
574.3278,320.333333333333,318.666666666667,323.333333333333,332.666666666667,323,327,,,,,,,
574.6717,319,320.333333333333,321.666666666667,338.333333333333,328,325,,,,,,,
575.0156,316.333333333333,323.666666666667,322.333333333333,339,321,323,,,,,,,
575.3595,318,320,323,340.333333333333,322,322,,,,,,,
575.7034,320,322.333333333333,319,335.333333333333,324,323,,,,,,,
576.0473,320,321.666666666667,322.666666666667,338.333333333333,326,328,,,,,,,
576.3912,320,319,324,337.666666666667,326,326,,,,,,,
576.7351,322.333333333333,319.333333333333,324.333333333333,340,330,324,,,,,,,
577.079,320.666666666667,322.333333333333,323.333333333333,341.333333333333,322,317,,,,,,,
577.4229,320,322.333333333333,322.333333333333,340,321,324,,,,,,,
577.7668,320.333333333333,324.666666666667,323.666666666667,340.666666666667,324,330,,,,,,,
578.1107,323.333333333333,323,321,341,329,327,,,,,,,
578.4546,319.333333333333,323.333333333333,323.666666666667,342.333333333333,327,317,,,,,,,
578.7985,324,324.666666666667,321,346,327,324,,,,,,,
579.1424,322.666666666667,323.666666666667,319,343.333333333333,321,323,,,,,,,
579.4863,324,325.333333333333,321,347.333333333333,330,326,,,,,,,
579.8302,326,321.666666666667,321.666666666667,337.333333333333,323,315,,,,,,,
580.1741,323.333333333333,326.666666666667,323.333333333333,341,323,325,,,,,,,
580.518,322.666666666667,323,326.333333333333,342,328,328,,,,,,,
580.8619,325,320.333333333333,325.666666666667,346,325,323,,,,,,,
581.2058,323,323.333333333333,326.333333333333,342.333333333333,325,323,,,,,,,
581.5497,319,322,325.333333333333,342.666666666667,324,322,,,,,,,
581.8936,323.666666666667,325.666666666667,324.666666666667,340.666666666667,329,333,,,,,,,
582.2375,323.333333333333,321.333333333333,322,344.333333333333,325,325,,,,,,,
582.5814,321.666666666667,319.666666666667,323,341.666666666667,322,330,,,,,,,
582.9253,323.333333333333,327.666666666667,320.333333333333,341.333333333333,324,333,,,,,,,
583.2692,320,323.666666666667,322.333333333333,340.333333333333,328,318,,,,,,,
583.6131,322,324,322,343.333333333333,328,329,,,,,,,
583.957,318.333333333333,322.666666666667,323.666666666667,340.666666666667,323,323,,,,,,,
584.3009,320,323.333333333333,322.333333333333,340.333333333333,324,329,,,,,,,
584.6448,319.333333333333,323.333333333333,321.666666666667,344.666666666667,324,324,,,,,,,
584.9887,321.666666666667,318.333333333333,323.666666666667,343.666666666667,323,321,,,,,,,
585.3326,320.333333333333,325.666666666667,322.333333333333,346.666666666667,330,326,,,,,,,
585.6765,321.333333333333,325.666666666667,323.333333333333,345,320,331,,,,,,,
586.0204,325,321.333333333333,326.666666666667,347,325,326,,,,,,,
586.3643,322,325.333333333333,324.666666666667,350.333333333333,333,328,,,,,,,
586.7082,321.666666666667,323.666666666667,326.666666666667,346.333333333333,325,332,,,,,,,
587.0521,321.333333333333,324,327.333333333333,350.333333333333,325,326,,,,,,,
587.396,324.333333333333,324,326.333333333333,353.666666666667,323,325,,,,,,,
587.7399,322,328.333333333333,327.666666666667,349.333333333333,327,328,,,,,,,
588.0838,321.333333333333,324.666666666667,328.666666666667,352.666666666667,326,329,,,,,,,
588.4277,326.666666666667,322.333333333333,327,349.333333333333,325,328,,,,,,,
588.7716,324.666666666667,325.333333333333,325.333333333333,350.333333333333,333,328,,,,,,,
589.1155,321.666666666667,323.333333333333,324.666666666667,349.666666666667,324,326,,,,,,,
589.4594,321,322.333333333333,325.666666666667,350.333333333333,324,332,,,,,,,
589.8033,326,324,330.333333333333,349,327,327,,,,,,,
590.1472,325.333333333333,325.333333333333,324,354,322,328,,,,,,,
590.4911,322,323.666666666667,328.333333333333,348.333333333333,331,328,,,,,,,
590.835,320.666666666667,323.333333333333,327.666666666667,354,329,331,,,,,,,
591.1789,324,326.666666666667,326,351,329,330,,,,,,,
591.5228,322.333333333333,323,326.333333333333,348,330,329,,,,,,,
591.8667,328,322.666666666667,327.333333333333,349.333333333333,325,332,,,,,,,
592.2106,324.333333333333,322,326.666666666667,348,330,330,,,,,,,
592.5545,321.333333333333,327,326.666666666667,343,330,332,,,,,,,
592.8984,321.666666666667,326,328,350,324,331,,,,,,,
593.2423,324.333333333333,325,324,349.666666666667,327,331,,,,,,,
593.5862,326.666666666667,323.666666666667,327.666666666667,349.666666666667,327,332,,,,,,,
593.9301,321.333333333333,326.666666666667,326,354.666666666667,330,326,,,,,,,
594.274,324,322.333333333333,327,352,325,332,,,,,,,
594.6179,325,326.666666666667,325.333333333333,353,326,332,,,,,,,
594.9618,325.666666666667,327,327.666666666667,351.666666666667,331,326,,,,,,,
595.3057,322.666666666667,324.333333333333,325.666666666667,356.666666666667,327,336,,,,,,,
595.6496,330,325.666666666667,325.333333333333,352.666666666667,335,330,,,,,,,
595.9935,326,324.666666666667,331,355,324,330,,,,,,,
596.3374,325.666666666667,326,330.333333333333,365.333333333333,326,326,,,,,,,
596.6813,323,325.333333333333,331.333333333333,363.666666666667,340,328,,,,,,,
597.0252,325.666666666667,327.666666666667,333.333333333333,362,330,330,,,,,,,
597.3691,327.333333333333,327,331.666666666667,358,331,332,,,,,,,
